Category: All categories

Week,zcash: (Worldwide)
2025-08-31,4
2025-09-07,6
2025-09-14,4
2025-09-21,6
2025-09-28,38
2025-10-05,49
2025-10-12,37
2025-10-19,27
2025-10-26,50
2025-11-02,100
2025-11-09,82
2025-11-16,70
2025-11-23,44
2025-11-30,40
2025-12-07,30
2025-12-14,24
2025-12-21,22
2025-12-28,28
2026-01-04,30
2026-01-11,23
2026-01-18,16
2026-01-25,18
2026-02-01,18
2026-02-08,16
2026-02-15,16
2026-02-22,13
2026-03-01,15
2026-03-08,13
2026-03-15,16
2026-03-22,12
2026-03-29,14
2026-04-05,20
2026-04-12,16
2026-04-19,14
2026-04-26,13
2026-05-03,30
2026-05-10,32
2026-05-17,34
2026-05-24,28
2026-05-31,55
2026-06-07,36
2026-06-14,26
2026-06-21,16
2026-06-28,15
2026-07-05,14
2026-07-12,15
2026-07-19,14
2026-07-26,14
2026-08-02,10
2026-08-09,12
2026-08-16,18
2026-08-23,21
2026-08-30,29
2026-09-06,98
